id_mesa,id_establecimiento,id_centro_de_distribucion,descripcion,ciudadanos_habilitados,extranjera
3031,4122,13,3031,349,NO
3032,4122,13,3032,349,NO
3033,4122,13,3033,349,NO
3034,4122,13,3034,349,NO
3035,4200,13,3035,350,NO
3036,4200,13,3036,350,NO
3037,4200,13,3037,350,NO
3038,4200,13,3038,350,NO
3039,4200,13,3039,350,NO
3040,4200,13,3040,350,NO
3041,4200,13,3041,350,NO
3042,4200,13,3042,350,NO
3043,4200,13,3043,350,NO
3044,4200,13,3044,350,NO
3045,4200,13,3045,350,NO
3046,4200,13,3046,350,NO
3047,6657,13,3047,350,NO
3048,6657,13,3048,349,NO
3049,6657,13,3049,349,NO
3050,6657,13,3050,349,NO
3051,6657,13,3051,349,NO
3052,6657,13,3052,349,NO
3053,6657,13,3053,349,NO
3054,6657,13,3054,349,NO
3055,6657,13,3055,349,NO
3056,6657,13,3056,349,NO
3057,6657,13,3057,349,NO
3058,4195,13,3058,349,NO
3059,4195,13,3059,349,NO
3060,4195,13,3060,349,NO
3061,4195,13,3061,349,NO
3062,4195,13,3062,349,NO
3063,4195,13,3063,349,NO
3064,4195,13,3064,349,NO
3065,4195,13,3065,349,NO
3066,4195,13,3066,349,NO
3067,4195,13,3067,349,NO
